CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15634675,Customer_73,608,Spain,Male,56,9,54967.16,1,1,0,86789.26,0
15634676,Customer_74,693,Spain,Female,18,1,111500.2,2,0,1,71903.1,0
15634677,Customer_75,799,France,Female,47,0,97014.46,1,0,0,10000.0,0
15634678,Customer_76,578,France,Male,39,9,69502.15,3,1,1,64458.77,0
15634679,Customer_77,660,France,Female,34,1,77794.15,3,0,1,142691.02,1
15634680,Customer_78,702,France,Male,39,7,114247.51,2,1,0,127348.5,0
15634681,Customer_79,822,France,Female,18,10,39160.83,1,0,1,142177.23,0
15634682,Customer_80,688,France,Male,35,7,7073.51,1,1,0,73131.27,0
15634683,Customer_81,833,Spain,Male,42,2,6117.6,2,1,0,168481.35,0
15634684,Customer_82,511,France,Female,55,6,44468.92,1,0,0,203742.1,0
15634685,Customer_83,689,France,Male,31,6,168035.55,2,1,1,111039.53,0
15634686,Customer_84,624,Germany,Male,28,1,0.0,2,1,1,73666.5,0
15634687,Customer_85,647,Spain,Female,31,8,33900.76,1,0,0,97871.22,1
15634688,Customer_86,533,Germany,Female,48,2,0.0,2,1,0,28860.02,0
15634689,Customer_87,767,Germany,Male,41,1,11253.98,1,1,0,80295.32,0
15634690,Customer_88,705,France,Female,31,2,0.0,2,1,0,134955.21,1
15634691,Customer_89,670,Germany,Female,44,1,50553.87,1,1,0,120148.18,0
15634692,Customer_90,485,Germany,Female,39,7,0.0,2,1,0,128219.14,0
15634693,Customer_91,737,Spain,Male,49,4,143780.29,2,0,0,10000.0,0
15634694,Customer_92,586,France,Female,29,2,52649.15,1,0,1,139632.46,0
15634695,Customer_93,574,France,Female,34,4,0.0,1,0,0,68715.31,0
15634696,Customer_94,505,France,Female,33,10,119202.47,2,1,1,87193.36,0
15634697,Customer_95,618,France,Male,20,10,97810.66,2,1,0,58488.09,0
15634698,Customer_96,596,France,Female,41,7,80786.56,1,0,0,186123.51,0
15634699,Customer_97,778,Spain,Male,41,6,0.0,1,1,0,24456.27,0
15634700,Customer_98,553,France,Male,38,5,0.0,1,1,0,94159.69,0
15634701,Customer_99,580,France,Male,35,0,75552.46,1,1,1,24805.22,0
15634702,Customer_100,593,France,Female,21,9,0.0,1,1,1,155061.3,0
15634703,Customer_101,571,France,Male,32,0,0.0,2,1,0,107331.42,0
15634704,Customer_102,522,Germany,Female,33,0,0.0,1,1,1,37339.64,0
15634705,Customer_103,712,Spain,Male,28,9,92660.69,2,1,0,104537.22,0
15634706,Customer_104,633,Spain,Female,36,7,0.0,1,1,0,52828.68,0
15634707,Customer_105,598,France,Male,42,7,116660.81,2,1,0,147562.87,0
15634708,Customer_106,587,France,Female,60,6,60397.32,2,1,1,215698.09,1
15634709,Customer_107,662,Germany,Male,40,5,60559.98,2,1,0,24274.31,0
15634710,Customer_108,588,France,Male,41,3,72113.52,2,0,1,179841.91,0
15634711,Customer_109,643,Spain,Male,37,0,12855.38,1,1,1,169673.7,0
15634712,Customer_110,695,France,Female,18,8,0.0,1,1,1,81218.31,0
15634713,Customer_111,683,Spain,Male,37,0,0.0,2,1,1,140655.52,0
15634714,Customer_112,788,France,Male,38,3,0.0,1,1,1,113950.02,0
15634715,Customer_113,743,Spain,Female,67,2,74950.29,1,0,1,97561.37,0
15634716,Customer_114,681,France,Male,35,6,118653.09,1,0,0,72287.88,0
15634717,Customer_115,686,Spain,Female,41,4,52188.22,1,1,1,139949.86,0
15634718,Customer_116,838,France,Male,37,4,89442.22,1,1,0,69989.2,1
15634719,Customer_117,573,Spain,Female,23,3,0.0,1,1,0,156871.46,0
15634720,Customer_118,697,Germany,Female,51,0,151280.41,1,1,0,50946.45,1
15634721,Customer_119,567,France,Female,47,4,0.0,1,1,0,219099.9,0
15634722,Customer_120,730,France,Female,47,3,0.0,2,1,0,35149.06,0
15634723,Customer_121,711,France,Male,27,9,0.0,1,1,1,250000.0,0
15634724,Customer_122,626,France,Male,54,7,0.0,1,1,1,79905.14,0
15634725,Customer_123,774,Germany,Female,21,1,26431.25,2,1,0,144342.26,0
15634726,Customer_124,655,Germany,Female,45,7,0.0,1,1,1,156262.28,0
15634727,Customer_125,682,France,Male,64,0,0.0,1,1,0,110352.79,0
15634728,Customer_126,494,Germany,Female,26,3,140806.08,1,1,1,164092.27,1
15634729,Customer_127,850,France,Male,31,2,99485.37,2,1,1,65693.72,0
15634730,Customer_128,550,Germany,Female,39,4,71032.62,1,0,1,29950.87,0
15634731,Customer_129,530,Germany,Male,31,4,130429.33,2,1,0,102941.42,0
15634732,Customer_130,709,France,Male,19,4,243573.78,2,0,0,144080.24,1
15634733,Customer_131,666,Germany,Male,38,3,0.0,1,1,0,66754.37,0
15634734,Customer_132,502,Germany,Female,25,7,180997.81,1,1,0,116322.77,1
15634735,Customer_133,567,France,Male,43,2,135917.25,2,1,0,25172.14,0
15634736,Customer_134,611,France,Female,26,3,32303.24,2,0,0,114238.48,0
15634737,Customer_135,578,Spain,Male,56,0,108536.88,2,1,1,75448.81,1
15634738,Customer_136,668,France,Male,28,6,0.0,3,0,0,110495.0,0
15634739,Customer_137,739,France,Female,34,0,45458.1,1,1,0,106694.46,0
15634740,Customer_138,850,Spain,Female,47,1,0.0,1,1,1,46289.86,0
15634741,Customer_139,503,Spain,Male,23,10,0.0,2,1,0,108373.96,0
15634742,Customer_140,643,France,Female,40,6,99665.29,2,1,0,70077.59,0
15634743,Customer_141,658,Spain,Male,53,0,0.0,1,0,0,152698.62,1
15634744,Customer_142,656,France,Female,18,10,104467.4,1,1,0,153373.13,0
15634745,Customer_143,669,France,Male,40,2,115443.14,2,1,0,111716.11,0
15634746,Customer_144,657,France,Male,41,5,83344.05,1,0,1,105470.17,0
15634747,Customer_145,761,France,Male,47,5,118058.02,2,0,1,142517.53,0
15634748,Customer_146,687,France,Male,23,5,142532.02,2,1,0,153959.29,0
15634749,Customer_147,504,Germany,Male,22,10,0.0,2,1,1,188620.98,0
15634750,Customer_148,523,France,Female,44,1,49068.7,1,1,1,85950.89,0
15634751,Customer_149,737,France,Male,41,1,66986.27,2,0,0,28304.71,0
15634752,Customer_150,697,France,Male,41,5,24152.57,2,1,0,154813.66,0
15634753,Customer_151,623,France,Female,42,9,128786.43,1,1,0,190164.49,0
15634754,Customer_152,695,France,Female,29,4,0.0,1,0,0,104036.52,0
15634755,Customer_153,708,Germany,Male,40,6,66119.77,1,1,1,97193.44,0
15634756,Customer_154,747,Spain,Male,41,6,111286.4,2,1,0,191196.23,0
15634757,Customer_155,627,Germany,Female,29,4,12755.12,1,0,1,38512.45,0
15634758,Customer_156,726,Germany,Male,60,7,0.0,1,1,0,82841.78,0
15634759,Customer_157,637,Germany,Male,43,9,0.0,2,1,1,63762.38,0
15634760,Customer_158,508,Spain,Male,23,5,58371.71,2,1,1,101629.45,0
15634761,Customer_159,687,Germany,Male,45,4,5102.4,2,1,0,159067.17,0
15634762,Customer_160,771,France,Male,26,3,130358.51,2,1,1,29090.67,0
15634763,Customer_161,724,France,Female,47,6,0.0,2,1,0,158883.55,0
15634764,Customer_162,765,Spain,Male,51,3,108777.81,2,1,0,52574.27,1
15634765,Customer_163,666,Spain,Male,28,4,0.0,2,0,1,125141.09,0
15634766,Customer_164,568,Germany,Male,49,4,0.0,1,0,0,10000.0,0
15634767,Customer_165,668,Spain,Female,42,0,1383.13,1,0,1,10000.0,0
15634768,Customer_166,614,Germany,Male,47,0,142670.68,2,1,1,91383.15,0
15634769,Customer_167,681,Germany,Male,60,2,1424.78,1,0,0,172265.52,0
15634770,Customer_168,655,Spain,Female,35,10,146799.21,1,1,0,160278.09,0
15634771,Customer_169,748,Spain,Female,28,2,0.0,2,0,0,10000.0,1
15634772,Customer_170,517,France,Male,27,1,43860.75,2,1,0,163208.69,0
15634773,Customer_171,425,France,Female,28,1,0.0,1,1,0,129994.96,0
15634774,Customer_172,657,Germany,Female,37,5,0.0,1,0,0,124966.56,0
15634775,Customer_173,615,France,Female,42,0,39522.23,1,1,0,230309.9,1
15634776,Customer_174,600,Germany,Female,41,5,39780.62,1,1,0,64404.47,1
15634777,Customer_175,582,Germany,Female,47,4,0.0,1,0,1,155494.58,0
15634778,Customer_176,646,France,Female,38,5,176961.1,2,1,0,102193.45,0
15634779,Customer_177,689,France,Male,55,4,67323.3,1,0,0,192702.81,0
15634780,Customer_178,702,Spain,Male,34,6,149422.57,2,1,1,119883.93,0
15634781,Customer_179,376,France,Female,70,0,0.0,1,1,0,70406.15,0
15634782,Customer_180,640,France,Female,45,2,215312.29,2,0,1,62695.13,0
15634783,Customer_181,478,France,Male,27,5,0.0,1,0,0,113263.82,1
15634784,Customer_182,735,Spain,Male,25,0,19327.59,2,0,1,54859.9,0
15634785,Customer_183,709,Germany,Female,43,10,157389.79,1,0,1,10000.0,0
15634786,Customer_184,547,Spain,Male,35,10,58065.34,2,0,1,175011.44,0
15634787,Customer_185,658,Germany,Male,46,6,161074.14,2,1,1,164515.01,0
15634788,Customer_186,457,Germany,Male,43,3,0.0,2,1,0,100073.51,0
15634789,Customer_187,691,Germany,Female,37,2,116874.34,2,1,0,140509.38,0
15634790,Customer_188,693,Spain,Female,27,9,33034.5,3,1,0,143644.3,0
15634791,Customer_189,722,Germany,Female,19,8,71303.92,2,0,1,102932.71,0
15634792,Customer_190,709,France,Male,32,0,0.0,2,0,1,10000.0,0
15634793,Customer_191,598,Spain,Male,48,7,73032.65,1,1,0,119747.29,1
15634794,Customer_192,551,Spain,Female,40,0,21575.44,2,1,1,85287.85,0
15634795,Customer_193,583,France,Female,23,4,0.0,2,1,1,214585.34,0
15634796,Customer_194,637,France,Female,40,9,56117.19,1,1,1,137569.25,0
15634797,Customer_195,528,France,Female,42,7,1745.12,2,0,0,137793.84,0
15634798,Customer_196,616,Spain,Female,27,5,118894.17,2,0,0,184793.8,1
15634799,Customer_197,616,Spain,Male,39,6,1111.19,1,1,0,106327.01,0
15634800,Customer_198,757,Germany,Male,38,10,0.0,1,1,0,213575.07,0
15634801,Customer_199,695,Germany,Female,24,7,41409.88,2,0,1,41675.9,0
15634802,Customer_200,580,France,Female,42,5,73661.39,1,1,0,93583.24,0
15634803,Customer_201,678,Spain,Female,44,10,0.0,2,0,0,176381.84,0
15634804,Customer_202,690,Spain,Female,50,5,0.0,1,0,1,29974.28,0
15634805,Customer_203,483,Germany,Male,50,10,79858.53,2,1,0,79894.24,1
15634806,Customer_204,849,France,Female,21,5,34880.31,1,1,0,127671.47,0
15634807,Customer_205,632,Spain,Male,26,4,8295.22,1,0,0,130363.12,0
15634808,Customer_206,563,Germany,Male,44,7,78408.0,2,1,0,63561.07,1
15634809,Customer_207,651,Spain,Male,44,1,51339.84,2,0,1,183050.3,0
15634810,Customer_208,561,Germany,Female,44,6,0.0,2,1,1,43124.87,0
15634811,Customer_209,481,Spain,Female,84,3,114084.9,1,1,0,112583.28,1
15634812,Customer_210,704,France,Male,44,0,74986.69,2,1,0,62445.26,0
15634813,Customer_211,654,Spain,Male,51,4,8625.83,1,1,1,10000.0,1
15634814,Customer_212,675,Spain,Female,49,2,0.0,1,1,0,60188.86,0
15634815,Customer_213,487,Germany,Female,45,3,67037.96,2,0,0,81979.39,0
15634816,Customer_214,693,Germany,Male,34,6,12091.45,2,1,0,26147.36,0
15634817,Customer_215,628,Spain,Male,47,4,272069.87,2,1,1,170763.85,1
15634818,Customer_216,529,Spain,Male,28,3,0.0,1,1,1,109737.72,0
15634819,Customer_217,562,Germany,Female,35,0,62365.0,1,1,1,116831.87,0
15634820,Customer_218,800,Germany,Female,32,5,0.0,2,1,0,95022.75,1
15634821,Customer_219,608,France,Male,38,10,104308.31,2,1,1,93684.69,0
15634822,Customer_220,796,France,Male,65,9,150942.15,1,1,1,132478.97,0
15634823,Customer_221,557,France,Female,18,5,81846.52,1,0,0,71756.15,0
15634824,Customer_222,594,Germany,Female,46,6,0.0,1,1,0,10000.0,0
15634825,Customer_223,610,Spain,Male,18,0,22971.27,2,0,1,10000.0,0
15634826,Customer_224,724,Germany,Female,32,3,117470.94,1,1,1,117810.62,0
15634827,Customer_225,673,France,Male,51,8,190619.01,1,0,0,83762.9,0
15634828,Customer_226,666,Spain,Female,38,9,173780.41,2,0,0,250000.0,0
15634829,Customer_227,749,France,Male,25,5,943.53,1,0,0,151406.4,1
15634830,Customer_228,708,France,Female,29,1,191292.79,2,1,0,122659.78,0
15634831,Customer_229,519,Spain,Male,46,3,24702.68,2,1,1,10000.0,1
15634832,Customer_230,741,France,Female,29,5,17681.37,1,0,0,62472.68,0
15634833,Customer_231,547,Germany,Male,40,3,0.0,2,1,0,156278.89,0
15634834,Customer_232,744,France,Male,38,9,51756.37,2,1,0,111707.94,0
15634835,Customer_233,692,Germany,Female,30,6,0.0,1,1,1,46126.74,0
15634836,Customer_234,704,Germany,Male,63,2,79270.14,2,0,1,32511.93,1
15634837,Customer_235,607,Germany,Male,45,5,0.0,1,1,1,130768.17,0
15634838,Customer_236,546,France,Male,18,3,78574.13,1,1,0,63783.58,0
15634839,Customer_237,635,Spain,Male,40,2,45248.04,2,0,1,73725.32,0
15634840,Customer_238,678,Germany,Female,30,2,0.0,2,1,1,88677.61,0
15634841,Customer_239,705,France,Male,48,1,59853.69,2,1,0,178989.03,0
15634842,Customer_240,600,Germany,Male,28,10,0.0,2,0,0,86442.27,0
15634843,Customer_241,585,France,Female,36,2,0.0,2,1,0,179963.92,0
15634844,Customer_242,619,France,Male,44,9,21607.9,2,1,0,77858.71,0
15634845,Customer_243,726,France,Male,48,0,104202.5,2,1,0,17512.1,0
15634846,Customer_244,476,Germany,Male,23,2,0.0,1,0,1,84790.07,0
15634847,Customer_245,623,Spain,Male,33,8,0.0,2,1,0,99593.4,1
15634848,Customer_246,583,Spain,Male,32,3,103530.57,1,1,1,10000.0,0
15634849,Customer_247,697,Spain,Female,30,2,0.0,1,1,1,41277.32,0
15634850,Customer_248,752,Spain,Female,59,7,29515.58,1,1,1,132687.95,1
15634851,Customer_249,493,France,Female,42,0,0.0,2,1,1,71791.16,0
15634852,Customer_250,680,Germany,Female,22,4,26954.17,2,1,0,148051.36,0
15634853,Customer_251,734,Spain,Male,49,0,0.0,3,0,1,20530.57,0
15634854,Customer_252,555,Germany,Female,63,6,127971.84,2,1,0,51911.58,1
15634855,Customer_253,742,Germany,Male,50,4,0.0,2,1,0,141548.74,1
15634856,Customer_254,554,France,Male,19,1,37903.92,1,1,1,106310.1,0
15634857,Customer_255,706,Spain,Male,32,0,0.0,1,0,1,10000.0,0
15634858,Customer_256,762,France,Male,53,10,25263.94,1,0,1,115040.96,0
15634859,Customer_257,577,France,Female,29,6,87103.88,1,1,1,180827.02,0
15634860,Customer_258,624,France,Female,43,0,122305.45,2,1,1,88946.86,0
15634861,Customer_259,756,France,Female,47,2,47148.01,2,0,1,67939.12,0
15634862,Customer_260,422,France,Male,26,10,26208.06,1,1,0,159367.34,0
15634863,Customer_261,696,France,Male,37,5,45761.5,2,1,0,67313.02,0
15634864,Customer_262,822,France,Female,18,5,143425.69,2,0,1,131719.76,0
15634865,Customer_263,363,Spain,Female,25,6,249062.46,1,1,1,83371.06,0
15634866,Customer_264,753,Spain,Male,34,10,116212.18,2,1,0,39495.41,1
15634867,Customer_265,729,France,Male,23,10,0.0,1,1,1,67360.31,0
15634868,Customer_266,644,France,Female,57,0,0.0,1,0,0,10000.0,0
15634869,Customer_267,689,France,Male,20,6,11794.79,2,1,1,145109.59,0
15634870,Customer_268,673,Spain,Male,32,1,102514.55,1,1,1,138021.37,0
15634871,Customer_269,597,France,Male,39,5,0.0,3,1,1,113498.71,1
15634872,Customer_270,768,France,Male,55,7,0.0,2,1,0,66062.65,0
15634873,Customer_271,649,Spain,Male,20,4,38594.65,2,1,0,144489.74,1
15634874,Customer_272,687,Spain,Female,51,9,0.0,2,1,1,135470.04,0
15634875,Customer_273,557,France,Male,38,2,0.0,2,1,0,144872.59,0
15634876,Customer_274,425,France,Male,26,10,146273.32,1,1,1,122178.43,0
15634877,Customer_275,536,Germany,Male,43,7,117727.11,2,0,1,86530.76,0
15634878,Customer_276,825,Germany,Female,40,7,0.0,2,1,1,87237.18,0
15634879,Customer_277,711,Germany,Male,30,3,71750.92,1,1,0,10000.0,0
15634880,Customer_278,608,France,Female,38,7,34818.18,1,1,1,30094.28,0
15634881,Customer_279,704,Spain,Male,33,4,138589.31,1,1,1,124739.54,0
15634882,Customer_280,690,France,Male,39,10,0.0,2,0,0,187331.0,0
15634883,Customer_281,477,France,Male,45,4,13852.92,2,1,1,147116.89,1
15634884,Customer_282,731,France,Male,57,2,105484.04,2,1,0,85860.87,1
15634885,Customer_283,466,France,Male,23,6,105248.75,2,1,0,53305.43,0
15634886,Customer_284,589,France,Male,63,10,86279.76,2,1,1,139173.1,1
15634887,Customer_285,555,Germany,Female,18,10,164729.93,1,1,0,110299.27,0
15634888,Customer_286,669,Spain,Female,36,8,27915.82,2,0,0,53134.91,0
15634889,Customer_287,670,France,Female,45,8,144098.65,2,1,0,112883.56,1
15634890,Customer_288,361,France,Male,41,0,58803.86,2,1,0,143122.87,0
15634891,Customer_289,768,Spain,Male,30,0,0.0,2,1,1,10000.0,1
15634892,Customer_290,655,France,Male,35,9,0.0,1,1,0,94076.93,0
15634893,Customer_291,742,Spain,Female,32,10,78212.78,1,1,1,173228.91,0
15634894,Customer_292,653,France,Male,30,4,151645.1,2,1,1,159290.59,0
15634895,Customer_293,666,Spain,Female,48,0,0.0,2,0,1,98718.03,1
15634896,Customer_294,512,Germany,Male,42,3,0.0,1,1,0,42860.3,0
15634897,Customer_295,575,Spain,Female,29,0,4991.64,2,1,1,19105.47,0
15634898,Customer_296,629,Germany,Female,48,1,1128.89,1,1,0,150581.93,1
15634899,Customer_297,716,Spain,Female,41,1,0.0,2,1,0,69631.38,0
15634900,Customer_298,606,Spain,Female,47,3,73379.02,1,0,1,135935.5,0
15634901,Customer_299,580,France,Male,45,7,0.0,2,1,0,166003.39,0
15634902,Customer_300,563,Spain,Female,28,1,55411.46,1,1,1,56246.51,0
15634903,Customer_301,684,Spain,Male,31,8,0.0,1,1,1,80374.13,0
15634904,Customer_302,641,Germany,Female,46,8,58751.39,2,0,1,165579.43,0
15634905,Customer_303,565,France,Male,45,1,75188.74,2,1,0,88952.6,0
15634906,Customer_304,631,France,Female,37,0,0.0,1,0,1,132810.5,0
15634907,Customer_305,577,Germany,Male,39,9,0.0,2,1,1,81406.26,0
15634908,Customer_306,556,Germany,Male,53,9,84847.46,2,0,0,33964.49,1
15634909,Customer_307,496,Spain,Male,30,8,134715.96,1,1,0,129377.58,1
15634910,Customer_308,519,France,Male,44,1,124360.23,2,0,0,186452.77,1
15634911,Customer_309,644,Germany,Male,35,7,143164.18,1,1,0,123385.11,0
15634912,Customer_310,455,Spain,Female,35,2,180203.3,2,1,0,135077.06,1
15634913,Customer_311,569,Spain,Male,51,0,0.0,2,1,1,135979.36,0
15634914,Customer_312,712,France,Male,47,10,0.0,1,0,1,194800.56,1
15634915,Customer_313,744,France,Female,47,0,129396.98,1,1,0,81992.05,0
15634916,Customer_314,685,France,Male,53,9,150346.69,2,0,0,10000.0,0
15634917,Customer_315,728,Spain,Male,38,1,61900.5,1,1,0,171900.43,0
15634918,Customer_316,651,France,Male,46,6,0.0,1,1,0,15954.34,0
15634919,Customer_317,548,Germany,Male,34,5,140470.97,1,0,0,72540.76,0
15634920,Customer_318,715,Spain,Female,41,10,0.0,2,1,1,54680.62,0
15634921,Customer_319,696,France,Male,36,1,0.0,1,1,0,54717.08,0
15634922,Customer_320,598,France,Male,39,3,59417.35,1,1,0,151928.81,0
15634923,Customer_321,590,Spain,Male,45,1,75695.47,2,1,0,139834.39,0
15634924,Customer_322,645,France,Male,28,0,59396.7,1,1,0,51723.43,1
15634925,Customer_323,758,Spain,Male,63,2,0.0,1,1,1,170577.41,0
15634926,Customer_324,613,Spain,Male,25,3,0.0,2,1,0,85873.2,0
15634927,Customer_325,358,Germany,Male,23,9,159771.02,2,1,1,206535.88,1
15634928,Customer_326,691,Germany,Male,51,4,195779.75,2,0,0,78177.56,0
15634929,Customer_327,543,France,Male,47,4,13769.0,1,0,0,74621.65,0
15634930,Customer_328,692,France,Male,45,6,156648.41,1,0,1,79396.29,0
15634931,Customer_329,689,France,Female,45,9,87835.67,1,1,1,48540.72,0
15634932,Customer_330,797,Germany,Male,37,7,99298.98,1,1,0,131841.19,0
15634933,Customer_331,640,France,Female,27,8,151293.34,2,1,0,61127.0,0
15634934,Customer_332,697,France,Female,38,6,72906.5,1,1,1,84598.92,0
15634935,Customer_333,662,Spain,Male,29,4,64683.64,2,0,1,127201.21,0
15634936,Customer_334,734,Spain,Male,49,8,33001.01,1,1,0,212962.97,0
15634937,Customer_335,309,Spain,Female,36,7,3669.02,1,0,1,61842.61,0
15634938,Customer_336,584,Germany,Male,28,9,36789.9,2,1,0,69015.27,0
15634939,Customer_337,626,Germany,Female,34,8,86608.2,1,0,1,65370.1,0
15634940,Customer_338,654,Germany,Female,42,9,0.0,1,0,0,125753.86,1
15634941,Customer_339,533,Spain,Male,31,7,52401.7,1,1,1,72520.18,0
15634942,Customer_340,678,France,Male,28,5,54315.02,2,1,1,49142.11,0
15634943,Customer_341,734,France,Male,40,3,141183.31,1,0,1,105846.29,0
15634944,Customer_342,583,France,Female,40,8,0.0,3,1,0,133130.05,0
15634945,Customer_343,556,Spain,Female,31,8,14410.37,1,1,0,72357.5,0
15634946,Customer_344,687,Germany,Female,32,9,79589.85,3,1,1,105579.45,0
15634947,Customer_345,665,France,Female,40,9,114197.97,1,1,0,115044.34,1
15634948,Customer_346,672,Spain,Female,20,8,135299.56,2,1,1,99862.4,0
15634949,Customer_347,510,France,Male,21,9,110976.66,2,1,0,118335.96,0
